pincode,official,status,candidate_our_stop,candidate_distance_m,our_display_name
600002,"Anna Salai LIC","OFF_NO_GEOCODE","Anna Salai","","Anna Salai (Mount Road), CMWSSB Division 117, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
600007,"Vepery Bus Stop","OFF_NO_GEOCODE","Vepery","","Vepery, Zone 5 Royapuram, Chennai, Tamil Nadu, 600001, India"
600008,"Egmore Bus Stand","OFF_NO_GEOCODE","Abiramapuram","","Indian Bank Abiramapuram, CP Ramaswamy Road, Seethammal Colony, Ward 123, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
600009,"High Court / Marina","OFF_NO_GEOCODE","High Court","","High Court, Esplanade, Evening Bazaar, CMWSSB Division 59, Zone 5 Royapuram, Chennai, Tamil Nadu, 600001, India"
600013,"Royapuram Market","OFF_NO_GEOCODE","Royapuram","","Royapuram, North Terminus Road, Ward 52, Zone 5 Royapuram, Chennai, Tamil Nadu, 600001, India"
600015,"Saidapet Bus Stand","OFF_NO_GEOCODE","Saidapet","","Saidapet, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600015, India"
600017,"Pondy Bazaar","OFF_NO_GEOCODE","Abiramapuram","","Indian Bank Abiramapuram, CP Ramaswamy Road, Seethammal Colony, Ward 123, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
600026,"Vadapalani Bus Stand","OFF_NO_GEOCODE","Vadapalani","","வடபழநி, Vadapalani Flyover, CMWSSB Division 130, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600001, India"
600026,"Vadapalani Arangam","OFF_NO_GEOCODE","Vadapalani","","வடபழநி, Vadapalani Flyover, CMWSSB Division 130, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600001, India"
600032,"Ekkaduthangal","OFF_NO_GEOCODE","Abiramapuram","","Indian Bank Abiramapuram, CP Ramaswamy Road, Seethammal Colony, Ward 123, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
600045,"Tambaram Bus Stand","OFF_NO_GEOCODE","Tambaram","","Velachery Tambaram Road, Jayachandran Nagar, Medavakkam, Sholinganallur, Chennai, Tamil Nadu, 600100, India"
600050,"Mogappair East","OFF_NO_GEOCODE","Mogappair","","Thirumangalam – Mogappair Road, Ward 99, Zone 8 Anna Nagar, Chennai, Tamil Nadu, 600001, India"
600053,"Ambattur Bazaar","OFF_NO_GEOCODE","Ambattur","","Cars India Maruti Suzuki Showroom, Arcot Road, CMWSSB Division 152, Zone 11 Valasaravakkam, Chennai, Ambattur, Thiruvallur, Tamil Nadu, 600116, India"
600054,"HVF","OFF_NO_GEOCODE","Abiramapuram","","Indian Bank Abiramapuram, CP Ramaswamy Road, Seethammal Colony, Ward 123, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
600062,"Maduravoyal","NO_OUR_GEOCODE","Maduravoyal","0","Chennai Port–Maduravoyal Expressway, CMWSSB Division 111, Zone 8 Anna Nagar, Chennai, Tamil Nadu, 600001, India"
600062,"Vanagaram","OFF_NO_GEOCODE","Abiramapuram","","Indian Bank Abiramapuram, CP Ramaswamy Road, Seethammal Colony, Ward 123, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
600073,"Kolathur","NO_OUR_GEOCODE","Kolathur","0","Kolathur, Ward 65, Zone 6 Thiru. Vi. Ka. Nagar, Chennai, Tamil Nadu, 600001, India"
600079,"Sowcarpet","NO_OUR_GEOCODE","Sowcarpet","0","Sowcarpet, Ward 59, Zone 5 Royapuram, Chennai, Tamil Nadu, 600001, India"
600079,"Mint Building","OFF_NO_GEOCODE","Mint","","Mint Park, Ward 53, Zone 5 Royapuram, Chennai, Tamil Nadu, 600001, India"
600081,"Tondiarpet Bus Stand","OFF_NO_GEOCODE","Tondiarpet","","Tondiarpet, Vaidhyanathan Bridge, CMWSSB Division 38, Zone 4 Tondiarpet, Chennai, Tamil Nadu, 600001, India"
600082,"Jawahar Nagar","NO_OUR_GEOCODE","Jawahar Nagar","0","Jawahar Canal, CMWSSB Division 35, Zone 4 Tondiarpet, Zone 6 Thiru. Vi. Ka. Nagar, Chennai, Tamil Nadu, 600001, India"
600082,"G K M Colony","OFF_NO_GEOCODE","Abiramapuram","","Indian Bank Abiramapuram, CP Ramaswamy Road, Seethammal Colony, Ward 123, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
600083,"Jafferkhanpet","NO_OUR_GEOCODE","Jafferkhanpet","0","Jafferkhanpet, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600001, India"
600083,"Kumaran Nagar","NO_OUR_GEOCODE","Kumaran Nagar","0","Kumaran Nagar, Rajiv Gandhi Salai, CMWSSB Division 198, Zone 15 Sholinganallur, Sholinganallur, Chennai, Tamil Nadu, 600119, India"
600084,"Purasawalkam","NO_OUR_GEOCODE","Purasawalkam","0","Purasawalkam, Ward 78, Zone 6 Thiru. Vi. Ka. Nagar, Chennai, Tamil Nadu, 600001, India"
600084,"Periamet","NO_OUR_GEOCODE","Periamet","0","Periamet, Ward 58, Zone 5 Royapuram, Chennai, Tamil Nadu, 600012, India"
600087,"Alwar Thirunagar","OFF_NO_GEOCODE","Abiramapuram","","Indian Bank Abiramapuram, CP Ramaswamy Road, Seethammal Colony, Ward 123, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
